"ParamID";"Enable";"ReadRegister";"WriteRegister";"DisplayText";"Scale";"Offset";"TotalBytes";"NumUsedBits";"MinVal";"MaxVal"
"AVG_AC_CURRENT";0;101;;"Среднее значение среднеквадратичного переменного тока генератора";1;0;2;16;0;64255
"AVG_AC_FREQ";0;102;;"Среднее значение среднеквадратичной частоты переменного тока генератора";0,0078125;0;2;16;0;501,9922
"POWER_FACTOR";0;103;;"Общий коэффициент мощности генератора";0,00006103515625;-1;2;16;-1;1
"PWR_FCTR_LAGGING";0;104;;"Общий сдвиг по фазе коэффициента мощности генератора";1;0;2;2;0;3
"TOTAL_KW_PCT";0;105;;"Общая мощность генератора, кВт, в %";0,0078125;-251;2;16;-251;250,99
"REAL_POWER";0;106;;"Общая активная мощность генератора";0,001;-2000000;4;32;-2000000000;2211081215
"PH_A_L2L_VOLTS";0;108;;"Линейное среднеквадратичное напряжение переменного тока фазы А генератора";1;0;2;16;0;64255
"PH_B_L2L_VOLTS";0;109;;"Линейное среднеквадратичное напряжение переменного тока фазы В генератора";1;0;2;16;0;64255
"PH_C_L2L_VOLTS";0;110;;"Линейное среднеквадратичное напряжение переменного тока фазы С генератора";1;0;2;16;0;64255
"PH_A_RMS_CURRENT";0;111;;"Среднеквадратичный переменный ток фазы А генератора";1;0;2;16;0;64255
"PH_B_RMS_CURRENT";0;112;;"Среднеквадратичный переменный ток фазы В генератора";1;0;2;16;0;64255
"PH_C_RMS_CURRENT";0;113;;"Среднеквадратичный переменный ток фазы С генератора";1;0;2;16;0;64255
"PH_A_L2N_VOLTS";0;114;;"Фазное среднеквадратичное напряжение переменного тока фазы А генератора";1;0;2;16;0;64255
"PH_B_L2N_VOLTS";0;115;;"Фазное среднеквадратичное напряжение переменного тока фазы В генератора";1;0;2;16;0;64255
"PH_C_L2N_VOLTS";0;116;;"Фазное среднеквадратичное напряжение переменного тока фазы С генератора";1;0;2;16;0;64255
"PH_A_REAL_POWER";0;117;;"Активная мощность фазы А генератора";0,001;-2000000;4;32;-2000000000;2211081215
"PH_B_REAL_POWER";0;119;;"Активная мощность фазы В генератора";0,001;-2000000;4;32;-2000000000;2211081215
